name,infolink
Aachener Str.Gürtel,178
Ackerstr.,932
Adolf-Menzel-Str.,119
Adrian-Meller-Str.,232
Aeltgen-Dünwald-Str.,630
Akazienweg,264
Albin-Köbis-Str.,453
Alfred-Schütte-Allee,441
Alfter  Alanus Hochschule,681
Alte Forststr.,560
Alte Römerstr.,424
Alte Str.,982
Alter Deutzer Postweg,263
Alter Flughafen Butzweilerhof,274
Alter Militärring,186
Altonaer Platz,363
Alzeyer Str.,331
Am Alten Güterbahnhof,643
Am Bilderstöckchen,332
Am Braunsacker,775
Am Coloneum,899
Am Eifeltor,930
Am Emberg,607
Am Faulbach,636
Am Feldrain,649
Am Flachsrosterweg,942
Am Grauen Stein,527
Am Hetzepetsch,387
Am Hochkreuz,898
Am Kreuzweg,7206
Am Kölnberg,85
Am Leinacker,877
Am Lindenweg,191
Am Neuen Forst,123
Am Nordpark,841
Am Portzenacker,619
Am Schildchen,787
Am Serviesberg,852
Am Springborn,611
Am Steinneuerhof,101
Am Vorgebirgstor,874
Am Weißen Mönch,627
Am Zehnthof,705
Amsterdamer Str.Gürtel,317
An den Kaulen,431
An der Ronne,216
An St. Marien,487
Anemonenweg,603
Antoniusstr.,474
Appellhofplatz,7
Arenzhof,810
Arnoldshöhe,84
Arnulfstr.,151
Arthur-Hantzsch-Str.,812
Auenweg,959
Auf dem Berlich,971
Auf dem Streitacker,832
Auf den Steinen,963
Auf der Aue,624
Auf der Freiheit,754
August-Horch-Str.,788
Auguste-Kowalski-Str.,566
Autobahn (Stadtbahn),534
Auweiler,374
Auweilerweg,297
Bachemer Str.,866
Bachstelzenweg,287
Bad Godesberg Bf,161
Bad Godesberg Stadthalle,371
Badorf,737
Bahnstr.,830
Baldurstr.,561
Baptiststr.,422
Barbarastr.,646
Barbarossaplatz,23
Baumschulenweg,439
Bayenthalgürtel,76
Beethovenstr.,206
Belvederestr.,910
Benfleetstr.,967
Bensberg,665
Bergstr.,310
Bernkasteler Str.,63
Berrenrather Str.Gürtel,162
Bertha-Benz-Karree,939
Betzdorfer Str.,48
Beuelsweg,827
Beuelsweg Nord,784
Beuthener Str.,582
Bevingsweg,542
Bf DeutzLANXESS arena,49
Bf DeutzMesse,802
Bf DeutzMesseplatz,257
Bf Ehrenfeld,835
Bf Lövenich,212
Bf Mülheim,572
Bf Porz,468
Bf Süd,876
Bieselweg,500
Birkenallee,203
Birkenweg,614
Bistritzer Str.,872
Bitterstr.,429
Blaubach,970
Blaugasse,233
Blériotstr.,276
Blockstr.,399
Blumenberg S-Bahn,8756
Blumenbergsweg,889
Bocklemünd,291
Bodinusstr.,318
Boltensternstr.,314
Bonhoefferstr.,642
Bonn Hauptbahnhof,687
Bonn West,688
Bonner Landstr.,94
Bonner Str.Gürtel,81
Bonner Wall,20
Bonntor,783
Bornheim,673
Bornheim Rathaus,628
Borsigstr.,256
Brahmsstr.,172
Braugasse,220
Bremerhavener Str.,365
Breslauer PlatzHbf,9
Broichstr.,541
Bruder-Klaus-Siedlung,638
Brück Mauspfad,547
Brüggener Str.,62
Brühl Mitte,735
Brühl Nord,734
Brühl Süd,736
Brühl Vochem,738
Brühler Str.Gürtel,74
Brühler Straße,689
Buchforst S-Bahn,779
Buchforst Waldecker Str.,569
Buchheim Frankfurter Str.,577
Buchheim Herler Str.,578
Buchheimer Weg,535
Bugenhagenstr.,941
BundesrechnungshofA. Amt,684
Bunsenstr.,137
Burgwiesenstr.,591
Buschdorf,695
Buschfeldstr.,590
Buschweg,302
Butzweilerstr.,250
Bückebergstr.,550
Bürgeramt Rodenkirchen,980
Bürgerpark Mülheim,870
Böcklinstr.,199
Bödinger Str.,98
Börnestr.,300
Campingplatz Rodenkirchen (nur Sommerferien),115
Carl-Goerdeler-Str.,728
Carlswerkstr.,911
Celsiusstr.,909
Chempark S-Bahn,814
Cheruskerstr.,792
Chlodwigplatz,18
Chorbuschstr.,376
Chorweiler,385
Chorweiler Nord,9574
Christian-Sünner-Str.,923
Christophstr.Mediapark,32
Clarenbachstift,180
Colonia-Allee,592
Corintostr.,921
Cottbuser Str.,605
Cranachstr.,826
Curt-Stenvert-Bogen,926
Cäsarstr.,70
CöllnParc,900
Danzierstr.,962
Dasselstr.Bf Süd,865
Deckstein,177
Dellbrück Hauptstr.,595
Dellbrück Mauspfad,594
Dellbrück S-Bahn,604
Dersdorf,674
Deutz Technische Hochschule,44
Deutzer Freiheit,39
Deutzer Friedhof,890
Deutzer Ring,496
Diepenbeekallee,229
Diepeschrather Str.,602
Dieselstr.,214
Dillenburger Str.,960
Dionysstr.,360
DLR,509
Dohmengasse,295
DomHbf,752
Donatusstr.,383
Dornstr.,430
Dorotheenstr.,484
Dr.-Schultz-Str.,715
Dransdorf,697
Drehbrücke,46
Drosselweg,346
Dünnwald Waldbad,794
Dünnwalder Str.,634
Dürener Str.Gürtel,170
Dädalusring,361
Ebernburgweg,330
Ebertplatz,35
EbertplatzRiehler Str.,653
Eddaweg,662
Edelhofstr.,650
Edmund-Rumpler-Str.,790
Edsel-Ford-Str.,414
Efferen,730
Egelspfad,211
Eggerbachstr.,597
Egonstr.,645
Eichenstr.,252
Eifelplatz,21
Eifelstr.,22
EifelwallStadtarchiv,26
Eil Heumarer Str.,460
Eil Kirche,458
Eiler Str.,559
Elisabeth-Breuer-Str.,934
Elisabethstr.,720
Elsdorf,481
Emilstr.,268
Engeldorfer Hof,89
Engeldorfer Str.,87
Ensen Gilgaustr.,451
Ensen Kloster,452
Erker Mühle,548
Erlenweg,269
Ernst-Volland-Str.,128
Esch,377
Esch Friedhof,857
Escher See,774
Escher Str.,326
Esserstr.,528
Esso,366
Ettore-Bugatti-Str.,437
Etzelstr.,341
Eupener Str.,181
Europaring,562
Euskirchener Str.,163
Eygelshovener Str.,202
Eythstr.,514
Falkenweg,290
Feldbergstr.,525
Feldkasseler Weg,855
Feltenstr.,267
Feuerwache,471
Fischenich,731
Flachsweg,192
Flehbachstr.,546
Flittard Süd,647
Flittarder Feld,648
Florastr.,304
Florenzer Str.,856
Flughafen Personalparkplatz,745
Fordwerke Mitte,369
Fordwerke Nord,370
Fordwerke Süd,368
Frankenforst,671
Frankenstr.,88
Frankenthaler Str.,329
Frankfurter Str. S-Bahn,657
Frankstr.,110
Franz-Liszt-Str.,755
Franziska-Anneke-Str.,849
Frechen Bf,712
Frechen Kirche,711
Frechen Rathaus,710
Frechen-Benzelrath,708
Frechener Weg,222
Freiheitsring,717
Freiligrathstr.,880
Friedensstr.,477
Friedhof Chorweiler,398
Friedhof Godorf,138
Friedhof Lehmbacher Weg,682
Friedhof Rodenkirchen,100
Friedhof Stammheim,644
Friedhof Steinneuerhof,102
Friedhof Worringen,749
Friedrich-Hirsch-Str.,480
Friedrich-Karl-Str.,345
Friesenplatz,30
Fuggerstr.,462
Fuldaer Str.,517
Further Str.,423
Fühlingen,405
Fühlinger Weg,397
Gaedestr.,82
Gauweg,821
Geestemünder Str.,367
Geibelstr.,146
Geilenkircher Str.,184
Geisselstr.,253
Geldernstr.Parkgürtel,325
Gerhart-Hauptmann-Str.,589
Gerolsteiner Str.,157
Gewerbegebiet Bilderstöckchen,335
Gewerbegebiet Broichstr.,545
Gewerbegebiet Feldkassel,33
Gewerbegebiet Pesch,382
Gewerbegebiet Pesch Nord,781
Gießener Str.,531
Gisbertstr.,842
Glashüttenstr.,862
Gleueler Str.Gürtel,173
Godorf Bf,134
Goldammerweg,288
Goldregenweg,629
Goltsteinstr.Gürtel,78
Gottesweg,54
Grachtenhofstr.,723
Graditzer Str.,348
Graf-Adolf-Str.,573
Graf-Zeppelin-Str.,475
Gremberg,530
Grengel Mauspfad,476
Grevenbroicher Str.,293
Grimmelshausenstr.,112
Gronauer Str.,580
Grunerstr.,587
Grüner Hof,838
Grüngürtelstr.,117
Grünstr.,568
Gummersbacher Str.,920
Gunther-Plüschow-Str.,661
Guntherstr.,503
Gut Leidenhausen,927
Gut Neuenhof,722
Gutenbergstr.,238
Güterverkehrszentrum,859
Güterverkehrszentrum Süd,915
Görlinger-Zentrum,940
Göttinger Str.,823
Habichtstr.,884
Hackhauser Weg,427
Hahnwald,105
Halfengasse,350
Hammerschmidtstr.,129
Hans-Böckler-PlatzBf West,867
Hans-Offermann-Str.,938
Hansaring,36
Hansestr.,454
Hasencleverstr.,538
Haus Fühlingen,404
Haus Vorst,713
Havelstr.,883
Heeresamt,73
Heimersdorf,384
Heimfriedweg,943
Heinering,372
Heinrich-Bützler-Str.,924
Heinrich-Erpenbach-Str.,248
Heinrich-Lübke-Ufer,897
Heinrich-Mann-Str.,301
Heinz-Kühn-Str.,878
Helaweg,986
Herforder Str.,364
Hermann-Löns-Str.,375
Herrigergasse,189
Hersel,678
Herstattallee,388
Herthastr.,53
Heumarkt,1
HeussalleeMuseumsmeile,692
Hildegardis-Krankenhaus,145
Hildegundweg,618
Hochkirchen,95
Hochkreuz,699
Hohenlind,174
Holweide S-Bahn,586
Holweide Vischeringstr.,583
Honschaftsstr.,610
Hopfenstr.,868
Hugo-Eckener-Str.,275
Hugo-Junkers-Str.,861
Humboldtstr.,456
Hücheln Krankenhaus,707
Hüchelner Str.,718
Hürth-Hermülheim,733
Hürth-Kalscheuren Bf.,5447
Häuschensweg,266
Höhenberg Frankfurter Str.,518
Höhscheider Weg,615
Höningen Rondorfer Weg,92
Höningen Siedlung,93
IKEA Am Butzweilerhof,976
IKEA Godorf,871
Iltisstr.,249
Im Buschfelde,230
Im Falkenhorst,459
Im Hoppenkamp,655
Im Klarenpesch,714
Im Langen Bruch,552
Im Rheinpark,51
Im Rheintal,918
Im Wasserfeld,443
Im Weidenbruch,606
Im Wichemshof,793
Im Wirtskamp,795
Imbacher Weg,801
Imbuschstr.,729
Immendorf,140
Immendorf Schule,840
Immendorf Siedlung,139
In der Kreuzau,964
Indianapolis-Str.,786
Innere Kanalstr.,756
Jasminweg,612
Johannes-Prassel-Str.,378
Johannesstr.,746
Josef-Lammerting-Allee,91
Junkersdorf,200
Juridicum,685
Justizzentrum,875
Kalk Kapelle,513
Kalk Post,512
Kalk-Karree,922
Kalker Friedhof,539
Kalkweg,622
Kallbergstr.,928
Kapellenweg,748
Kapfenberger Str.,716
Kappelsweg,55
Karl-Marx-Allee,386
Karl-Schwering-Platz,148
Karnevalsmuseum,259
Kartäuserhof,894
Kaserne Haupttor,888
Kaserne Nordtor,482
Kasselberg,419
Kendenicher Str.,60
Kesselsgasse,706
Kettelerstr.,90
Keupstr.,631
Kiebitzweg,732
Kieler Str.,574
Kinderkrankenhaus,316
Kippekausen,670
Kirschbaumweg,103
Kitschburger Str.,171
Klaprothstr.,933
Kleinfeldchensweg,549
Kleingartenanlage Ostheim,321
Klettenbergpark,167
Klingerstr.,863
Klinikum Merheim,831
Klosterhof,617
Koblenzer Str.,67
Kochwiesenstr.,296
Koelnmesse,42
Kolkrabenweg,285
Konrad-Adenauer-Str.,120
Konradstr.,156
Kopernikusschule,470
Koppensteinstr.,176
Korber Weg,483
Kornblumenweg,502
Krefelder Wall,38
Kretzerstr.,309
Krieger-Str.,864
Krieler Str.,175
Kuenstr.,828
Kuthstr.Vingst,10
Kühzällerweg,588
Kürtenstr.,522
Kämpchensweg,190
KölnBonn Flughafen Terminal 1,848
KölnBonn Flughafen Terminal 2,845
Kölner Str.,666
Kölner Weg,204
Kölnstr.,127
Königsforst,557
Körnerstr.,237
Lacher Broch,284
Lahnstr.,725
Langel Fähre,407
Langel Kuhlenweg,410
Langel Mohlenweg,409
Langel Nord,408
Langenbergstr.,984
Leiblplatz,147
Leichweg,71
Leimbachweg,620
Leinsamenweg,193
Leipziger Platz,307
Lenauplatz,247
Lentpark,925
Leopold-Gmelin-Str.,817
Lerchenweg,96
Lessingstr.,833
Leuchterstr.,608
Leyboldstr.,83
Leyendeckerstr.,255
Liblarer Str.,72
Libur Kirche,497
Libur Margaretenstr.,498
Liebigstr.,239
Lina-Bommer-Weg,937
Lindenburg,155
Lindenbuschweg,726
Lindenweg,847
Linder Kreuz,492
Linder Mauspfad,495
Linder Weg,494
Lindweilerfeld,393
Lindweilerweg,359
Lippeweg,616
Lohsestr.,305
Longerich Friedhof,357
Longerich S-Bahn,358
Longericher Str.,356
Longericher Str.Etzelstr.,860
Lucasstr.,499
Ludwig-Quidde-Platz,564
Ludwigsburger Str.,328
Lustheide,668
LVR-Klinik,843
Lüderichstr.,919
Lülsdorf Nord,280
Maarhäuser Weg,461
Maarweg,179
Mannesmannstr.,104
Mannsfeld,69
Marconistr.,854
Marconistr. Ost,858
Margaretastr.,273
Maria-Himmelfahrt-Str.,584
Marienberger Weg,392
Marienburg Südpark,80
Marienburger Str.,79
Marienplatz,658
Marienstr.,834
Marktplatz Sürth,126
Marktstr.,66
Marsdorf,235
Maternusplatz,109
Mathias-Brüggen-Str.,278
Mauritiuskirche,4
Mauritiusschule,724
Max-Löbner-Str.Friesdorf,698
Mechternstr.,771
Meerfeldstr.,355
Melaten,144
Melatengürtel,182
Mennweg,406
Merheim,540
Merheimer Platz,312
Merianstr.,396
Merkenich,417
Merkenich Mitte,416
Merkenicher Str.,349
Merten,676
Meschenich Kirche,86
Methweg,769
Michaelshoven,108
Mohnweg,142
Moldaustr.,989
Mollwitzstr.,336
Moltkestr.,28
Mommsenstr.,165
Montanusstr.,571
Morsestr.,853
Moses-Hess-Str.,640
Mozartstr.,747
Museum Koenig,683
Mutzbach,626
Mühlengasse,709
Mühlenweg,270
Mühlenweiher,435
Mülhauser Str.,773
Mülheim Berliner Str.,633
Mülheim Wiener Platz,570
Mülheimer Friedhof,519
Mülheimer Ring,800
Müngersdorf S-BahnTechnologiepark,185
Nachtigallenstr.,490
Neißestr.,882
Nesselrodestr.,818
Neue Eiler Str.,457
Neuenhofstr.,455
Neuenweg,667
Neuer Mülheimer Friedhof,637
Neufelder Str.,585
Neumarkt,2
Neusser Str.Gürtel,303
Neven DuMont Haus,885
Nibelungenplatz,339
Nibelungenstr.,652
Niehl Betriebshof Nord,352
Niehl Nord,342
Niehl Sebastianstr.,343
Niehler Damm,351
Niehler Kirchweg,820
Niehler Str.,308
Nievenheimer Str.,327
Nippes S-Bahn,750
Nordfriedhof,338
Nordstr.,306
Nußbaumerstr.,246
Nüssenberger Str.,299
Oberer Komarweg,61
Oberzündorf,763
Odenthaler Str.,609
Offenbachplatz,969
Okerstr.,987
Ollenhauerring,298
Ollenhauerstraße,691
Olof-Palme-Allee,690
Olpener Str.,551
Oranienstr.,523
Oranjehofstr.,412
Oskar-Jäger-Str.,258
Oskar-Schindler-Str.,929
Ossendorf,271
Osterather Str.,815
Ostfriedhof,598
Ostheim,533
Ostlandstr.,227
Ostmerheimer Str.,543
Otto-Hahn-Str.,136
Otto-Müller-Str.,381
Palmenhof,809
Pasteurstr.,822
Paul-Nießen-Str.,916
Paul-Reifenberg-Str.,621
Pesch Schulstr.,373
Pescher Weg,380
Pettenkoferstr.,772
Pierstr.,135
Piusstr.,236
Plittersdorfer Straße,701
Pohligstr.,52
Poll Hauptstr.,442
Poll Salmstr.,438
Poller Holzweg,445
Poller Kirchweg,47
Porz Markt,467
Porz Steinstr.,466
Porz-Langel Kirche,767
Porz-Langel Mühle,765
Porz-Langel Nord,764
Porz-Langel Süd,703
Porz-Langel Zur Eiche,766
Porzer Str.,554
Poststr.,3
Propsthof Nord,43
Prälat-van-Acken-Str.,850
Pulheimer Str.,391
Raiffeisenstr.,444
Ramrather Weg,751
Ranzel Weilerhof,869
RathHeumar,556
Rathaus,6
Refrath,669
Reichenspergerplatz,34
Reiherstr.,777
Rektor-Klein-Str.,272
Remscheider Str.,516
Rheinauhafen,744
Rheinbergstr.,581
RheinEnergieSTADION,187
Rheinkassel,411
Rheinlandstr.,413
Rheinsteinstr.,64
Rhöndorfer Str.,159
Richard-Wagner-Str.,118
Riehler Gürtel,319
Ritterstr.,130
Robert-Bosch-Str.,415
Robert-Kirchhoff-Straße,696
Robert-Perthel-Str.,334
Rochusplatz,262
Rodenkirchen Bf,106
Rodenkirchen Bismarckstr.,780
Rodenkirchen Rathaus,111
Roggenweg,194
Roisdorf West,672
Roisdorfer Str.,433
Rondorf,97
Roonstr.,29
Rosenhügel,228
Rosenstr.,13
Rosmarinweg,808
Rotdornstr.,50
Rotdornweg,721
Roteichenweg,879
Rudolf-Diesel-Str.,463
Rudolfplatz,27
Rösrather Str.,565
Röttgensweg,555
Saarbrücker Str.,536
Saarstr.,218
Sauerlandstr.,532
Schadowstr.,768
Schaffrathsgasse,242
Schanzenstr. Nord,908
Schanzenstr.Schauspielhaus,891
Scheibenstr.,337
Scheuermühlenstr.,887
Schillingsrotter Str.,122
Schirmerstr.,770
Schlagbaumsweg,593
Schlebusch,663
Schlehdornstr.,931
Schlettstadter Str.,418
Schloss Röttgen,558
Schmiedegasse,340
Schneider-Clauss-Str.,829
Schokoladenmuseum,719
Schulzentrum Wahn,886
Schumacherring,895
Schwabenstr.,121
Schwadorf,739
Schwindstr.,198
Schüttewerk,440
Schützenhofstr.,935
Schönhauser Str.,65
Sechzigstr.,311
Seeberg,395
Seithümerstr.,213
Selma-Lagerlöf-Str.,221
Seniorenzentrum Riehl,320
Servatiusstr.,537
Severinsbrücke,45
Severinskirche,15
Severinstr.,11
Severinusstr.,219
Sibille-Hartmann-Str.,782
Siebengebirgsallee,168
Siedlung Mielenforst,599
Siegburger Str.,448
Siegfriedstr.,116
Siegstr.,107
Siemensstr.,469
Sigwinstr.,613
Silbermöwenweg,14
Sinnersdorf Kirche,704
Sinnersdorfer Mühle,379
Slabystr.,315
Sparkasse Am Butzweilerhof,903
Spitzangerweg,217
Sportplatzstr.,656
Sprengelstr.,819
St. Vinzenz-Hospital,824
St.-Joseph-Kirche,354
St.-Tönnis-Str.,426
Staffelbergstr.,985
Stallagsweg,390
Stammheim S-Bahn,813
Stammheimer Ring,641
Stegerwaldsiedlung,567
Steinkauzweg,286
Steinmetzstr.,515
Steinstr. S-Bahn,625
Steinweg,553
Sterrenhofweg,205
Stolberger Str.,778
Stolberger Str.Eupener Str.,183
Stommeler Str.,839
Stormstr.,225
Straßburger Platz,563
Stresemannstr.,465
Stüttgenhof,234
Subbelrather Str.Gürtel,245
Suevenstr.,40
Swinestr.,988
Südallee,207
Sülz Hermeskeiler Platz,166
Sülzburgstr.,152
Sülzgürtel,160
Sürth Bf,124
Sürth Rodderweg,664
Sürther Feldallee,226
Tacitusstr.,68
Takustr.,836
Talweg,805
Tannenbusch Mitte,694
Tannenbusch Süd,693
Taubenholzweg,446
Technologiepark Köln,197
Theodor-Heuss-Str.,464
Theresienstr.,149
Thermalbad,806
Thielenbruch,596
Thurner Kamp,600
Trifelsstr.,789
Trimbornstr.,816
Troisdorfer Str.,493
TÜV-Akademie,799
Ubierring,17
Uedorf,679
Uferstr.,114
Ulrepforte,19
Universität,153
UniversitätMarkt,686
Universitätsstr.,143
Unnauer Weg,394
Unter Buschweg,529
Unter Gottes Gnaden,978
Unter Sachsenhausen,968
Urbach Friedhof,479
Urbach Kaiserstr.,511
Urbach Waldstr.,510
Urfeld,743
Venloer Str.Gürtel,251
Vingst,521
Vitalisstr. Nord,659
Vitalisstr. Süd,195
Vogelsanger Markt,289
Vogelsbergstr.,983
Volkhovener Weg,402
Volksgarten,913
Voltastr.,901
Von-Galen-Str.,639
Von-Hünefeld-Str.,277
Von-Lohe-Str.,635
Von-Quadt-Str.,601
Von-Sparr-Str.,632
Wahn Friedhof,491
Wahn Kirche,489
Wahn S-Bahn,488
Waidmarkt,12
Walberberg,677
Waldorf,675
Walter-Dodde-Weg,421
Walter-Pauli-Ring,243
Wasseramselweg,965
Wasserwerk,75
Wattstr.,873
WDR,292
Weichselring,403
Weiden Einkaufszentrum,791
Weiden Lübecker Str.,966
Weiden Römergrab,241
Weiden Sportplatz,224
Weiden West,702
Weiden Zentrum,261
Weidenpescher Str.,347
Weilburger Str.,526
Weiler,401
Weilerweg,811
Weinsbergstr.Gürtel,254
Weiß Friedhof,132
Weißer Hauptstr.,131
Weißhausstr.,150
Welserstr.,651
Wendelinstr.,188
Weserpromenade,881
Wesseling,741
Wesseling Nord,742
Wesseling Süd,740
Wesselinger Str.,125
Westerwaldstr.,99
Westfriedhof,283
Westhoven Berliner Str.,450
Westhoven Kölner Str.,449
Weyertal,154
Wezelostr.,400
Wichheimer Str.,579
Widdersdorf,231
Widdersdorfer Str.,196
Widdig,680
Wiedenfelder Weg,428
Wiedstr.,654
Wiehler Str.,544
Wiener Weg,209
Wiesenweg,478
Wildpark,623
Wilhelm-Leuschner-Str.,727
Wilhelm-Mauser-Str.,265
Wilhelm-Sollmann-Str.,362
Wilhelmstr.,825
Willi-Lauf-Allee,244
Windmühlenstr.,961
Wiso-Fakultät,846
Wolffsohnstr.,282
Worringen S-Bahn,420
Worringen Süd,425
Worringer Str.,37
Wupperplatz,944
Wurzerstraße,700
Wüllnerstr.,169
Würzburger Str.,520
Xantener Str.,323
Zaunhof,141
Zaunstr.,215
Zollstock Südfriedhof,57
Zollstockgürtel,56
Zollstocksweg,58
Zonser Str.,837
ZooFlora,313
Zugweg,914
Zum Dammfelde,979
Zum Hedelsberg,133
Zum Neuen Kreuz,807
Zur Abtei,804
Zülpicher Platz,24
Zülpicher Str.Gürtel,164
Zündorf,486
Zündorf Altersheim,759
Zündorf Kirche,758
Zündorf Marktstr.,757
Zündorf Mitte,760
Zündorf Olefsgasse,761
Zündorf Ranzeler Str.,762
Zündorfer Weg,447
Zypressenstr.,389
Üdesheimer Weg,434
Üsdorf,223
